"state_name","NA","case reported and vax data","case reported, no vax data","no case reported","n_counties_births","n_counties_vax","n_counties_cases","total_cases","total_cases_excluded","pct_cases_excluded","note"
"Alabama",NA,NA,1,67,67,67,1,1,1,1,"1 case reported for North Alabama, could not identify county"
"Alaska",NA,NA,2,29,29,NA,2,4,4,1,"no vaccination data available"
"Arizona",NA,6,NA,9,15,15,6,254,NA,NA,NA
"Arkansas",NA,NA,3,72,75,NA,3,8,8,1,"no vaccination data available"
"California",NA,16,1,42,58,57,17,35,4,0.114285714285714,"4 cases in unknown county"
"Colorado",NA,10,NA,54,64,64,10,36,0,0,NA
"Connecticut",NA,1,NA,7,8,8,1,1,NA,NA,"1 case reported in South Central Connecticut, identified as Fairfield county following https://portal.ct.gov/dph/home/newsroom/press-releases---2025/measles-case-in-connecticut?language=en_US"
"Delaware",NA,NA,NA,3,3,NA,NA,NA,0,NA,"no vaccination data available"
"District of Columbia",NA,1,NA,NA,1,1,1,1,NA,NA,NA
"Florida",NA,11,NA,56,67,67,11,26,0,0,NA
"Georgia",NA,NA,2,158,159,NA,2,11,11,1,"no vaccination data available"
"Hawaii",NA,1,NA,4,5,4,1,2,0,0,NA
"Idaho",NA,NA,7,38,44,NA,7,23,23,1,"no vaccination data available"
"Illinois",NA,NA,3,100,102,NA,3,14,14,1,"no vaccination data available"
"Indiana",NA,NA,3,89,92,NA,3,11,11,1,"no vaccination data available"
"Iowa",NA,NA,3,99,99,99,3,9,9,1,"9 cases reported in Central, Eastern, and Western Iowa, but no reliable county decomposition available"
"Kansas",NA,5,1,100,105,105,6,91,20,0.21978021978022,"20 cases reported in unknown county"
"Kentucky",NA,6,1,114,120,120,7,18,1,0.0555555555555556,"1 case reported in unknown county"
"Louisiana",NA,2,NA,55,64,64,2,3,NA,NA,"health dept regions manually mapped to counties from https://ldh.la.gov/oph-regional-offices"
"Maine",NA,NA,NA,16,16,16,NA,NA,NA,NA,NA
"Maryland",NA,2,NA,22,24,24,2,3,NA,NA,NA
"Massachusetts",NA,NA,NA,14,14,14,NA,NA,NA,NA,NA
"Michigan",NA,10,NA,73,83,82,10,30,0,0,NA
"Minnesota",NA,4,2,83,87,87,6,27,22,0.814814814814815,"10 cases reported in Twin Cities Metro Area (and not clear which counties), 12 cases reported in unknown county"
"Mississippi",NA,NA,NA,82,82,NA,NA,NA,0,NA,"no vaccination data available"
"Missouri",NA,3,NA,112,115,115,3,7,NA,NA,NA
"Montana",NA,NA,6,51,56,NA,6,36,36,1,"no vaccination data available"
"Nebraska",NA,NA,4,90,93,NA,4,6,6,1,"no vaccination data available"
"Nevada",NA,2,NA,15,17,17,2,2,0,0,NA
"New Hampshire",NA,NA,NA,10,10,NA,NA,NA,0,NA,"no vaccination data available"
"New Jersey",NA,4,1,17,21,21,5,11,3,0.272727272727273,"3 cases reported in unknown county"
"New Mexico",NA,8,1,24,33,24,9,100,6,0.06,"6 cases reported in Sandoval, but no vax data available"
"New York",NA,6,NA,52,62,62,6,48,NA,NA,"20 cases reported in New York City, population weighted average of vax and birth rates for NYC counties used (Bronx, Kings, New York, Queens, Richmond)"
"North Carolina",NA,8,NA,92,100,100,8,18,NA,NA,NA
"North Dakota",NA,4,NA,49,53,53,4,37,NA,NA,NA
"Ohio",NA,NA,8,80,88,NA,8,48,48,1,"no vaccination data available"
"Oklahoma",NA,NA,1,77,77,77,1,18,18,1,"18 cases (all cases) reported in unknown county"
"Oregon",NA,3,1,33,36,36,4,6,2,0.333333333333333,"2 cases reported in unknown county"
"Pennsylvania",NA,6,1,61,67,67,7,21,1,0.0476190476190476,"1 case reported in unknown county"
"Rhode Island",NA,1,NA,4,5,5,1,1,NA,NA,NA
"South Carolina",NA,5,NA,41,46,46,5,950,NA,NA,NA
"South Dakota",NA,5,NA,61,66,65,5,22,0,0,NA
"Tennessee",NA,3,NA,69,95,95,3,8,NA,NA,"cases reported in public health regions, manually converted with https://www.tn.gov/health/health-program-areas/oralhealth/clinics/oral-health-regions-contacts.html"
"Texas",NA,51,1,203,254,253,52,803,1,0.0012453300124533,"1 case reported in unknown county"
"Utah",NA,11,NA,4,29,29,11,251,NA,NA,"cases reported by region, so aggregated using https://files.epi.utah.gov/Utah%20measles%20dashboard.html then converted using UT county map"
"Vermont",NA,1,1,13,14,12,2,2,1,0.5,"1 case reported in unknown county"
"Virginia",NA,4,NA,100,133,132,4,11,0,0,"cases reported regionally, converted from https://www.vdh.virginia.gov/content/uploads/2020/05/Locality-to-HD-to-HPR.pdf"
"Washington",NA,7,NA,32,39,39,7,31,NA,NA,NA
"West Virginia",NA,NA,NA,55,55,NA,NA,NA,0,NA,"no vaccination data available"
"Wisconsin",NA,3,NA,69,72,72,3,38,NA,NA,NA
"Wyoming",NA,5,NA,18,23,23,5,15,NA,NA,NA
