State Name,# counties with birth rate data,# counties with vaccination data,# locations with case data,total cases reported,cases excluded,% cases excluded,notes
Alaska,29,,2,4,4,100%,no vaccition data available
Arkansas,75,,3,8,8,100%,
Delaware,3,,,,,,
Georgia,159,,2,11,11,100%,
Idaho,44,,7,23,23,100%,
Illinois,102,,3,14,14,100%,
India,92,,3,11,11,100%,
Mississippi,82,,,,,,
Montana,56,,6,36,36,100%,
Nebraska,93,,4,6,6,100%,
New Hampshire,10,,,,,,
Ohio,88,,8,48,48,100%,
West Virginia,55,,,,,,
Iowa,99,99,3,9,9,100%,"9 cases reported in Central, Eastern, and Western Iowa, but no reliable county decomposition available"
Oklahoma,77,77,1,18,18,100%,18 cases reported in unknown county
Alabama,67,67,1,1,1,100%,"1 case reported for North Alabama, could not identify county"
Minnesota,87,87,6,27,22,81%,"10 cases reported in Twin Cities Metro Area (and not clear which counties), 12 cases reported in unknown county"
Vermont,14,12,2,2,1,50%,1 case reported in unknown county
Oregon,36,36,4,6,2,33%,2 cases reported in unknown county
New Jersey,21,21,5,11,3,27%,3 cases reported in unknown county
Kansas,105,105,6,91,20,22%,20 cases reported in unknown county
California,58,57,17,35,4,11%,4 cases in unknown county
New Mexico,33,24,9,100,6,6%,"6 cases reported in Sandoval, but no vax data available"
Kentucky,120,120,7,18,1,6%,1 case reported in unknown county
Pennsylvania,67,67,7,21,1,5%,1 case reported in unknown county
Texas,254,253,52,803,1,<1%,1 case reported in unknown county
Virginia,133,132,4,11,,,"cases reported regionally, converted from https://www.vdh.virginia.gov/content/uploads/2020/05/Locality-to-HD-to-HPR.pdf"
Colorado,64,64,10,36,,,
Florida,67,67,11,26,,,
Hawaii,5,4,1,2,,,
Michigan,83,82,10,30,,,
Nevada,17,17,2,2,,,
South Dakota,66,65,5,22,,,
Louisia,64,64,2,3,,,health dept regions manually mapped to counties from https://ldh.la.gov/oph-regiol-offices
Tennessee,95,95,3,8,,,"cases reported in public health regions, manually converted with https://www.tn.gov/health/health-program-areas/oralhealth/clinics/oral-health-regions-contacts.html"
Utah,29,29,11,251,,,"cases reported by region, so aggregated using https://files.epi.utah.gov/Utah%20measles%20dashboard.html then converted using UT county map"
New York,62,62,6,48,,,"20 cases reported in New York City, population weighted average of vax and birth rates for NYC counties used (Bronx, Kings, New York, Queens, Richmond)"
Connecticut,8,8,1,1,,,"1 case reported in South Central Connecticut, identified as Fairfield county following https://portal.ct.gov/dph/home/newsroom/press-releases---2025/measles-case-in-connecticut?language=en_US"
Arizona,15,15,6,254,,,
District of Columbia,1,1,1,1,,,
Maine,16,16,,,,,
Maryland,24,24,2,3,,,
Massachusetts,14,14,,,,,
Missouri,115,115,3,7,,,
North Caroli,100,100,8,18,,,
North Dakota,53,53,4,37,,,
Rhode Island,5,5,1,1,,,
South Caroli,46,46,5,950,,,
Washington,39,39,7,31,,,
Wisconsin,72,72,3,38,,,
Wyoming,23,23,5,15,,,
,3142,2237,269,3098,250,8%,
