"V1","V2","V3"
"1",1,10,1
"2",1,10,1
"1",1,12,1
"2",1,12,1
"1",1,14,1
"2",1,14,1
"1",1,16,1
"2",1,16,1
"1",1,18,1
"2",1,18,1
"1",1,20,1
"2",1,20,1
"1",1,22,1
"2",1,22,1
"1",1,24,1
"2",1,24,1
"1",2,10,0.85
"2",2,10,0.15
"1",2,12,0.8
"2",2,12,0.25
"1",2,14,0.8
"2",2,14,0.4
"1",2,16,7.8421052631579
"2",2,16,0.75
"1",2,18,0.65
"2",2,18,1.6
"1",2,20,13.6315789473684
"2",2,20,3.5
"1",2,22,15.0789473684211
"2",2,22,6.39473684210526
"1",2,24,2.95
"2",2,24,9.28947368421053
"1",3,10,1.35
"2",3,10,13.6315789473684
"1",3,12,1.5
"2",3,12,17.9736842105263
"1",3,14,7.8421052631579
"2",3,14,20.8684210526316
"1",3,16,17.9736842105263
"2",3,16,23.7631578947368
"1",3,18,17.9736842105263
"2",3,18,25.2105263157895
"1",3,20,17.9736842105263
"2",3,20,25.2105263157895
"1",3,22,31
"2",3,22,26.6578947368421
"1",3,24,29.5526315789474
"2",3,24,26.6578947368421
"1",4,10,3.5
"2",4,10,0.25
"1",4,12,6.39473684210526
"2",4,12,0.25
"1",4,14,9.28947368421053
"2",4,14,0.3
"1",4,16,13.6315789473684
"2",4,16,0.3
"1",4,18,28.1052631578947
"2",4,18,0.35
"1",4,20,25.2105263157895
"2",4,20,0.35
"1",4,22,20.8684210526316
"2",4,22,0.4
"1",4,24,20.8684210526316
"2",4,24,0.4
"1",5,10,1
"2",5,10,0.65
"1",5,12,1.05
"2",5,12,0.7
"1",5,14,1.1
"2",5,14,0.7
"1",5,16,1.15
"2",5,16,0.75
"1",5,18,1.25
"2",5,18,0.8
"1",5,20,1.45
"2",5,20,0.8
"1",5,22,1.35
"2",5,22,0.85
"1",5,24,1.2
"2",5,24,0.9
