Geo__geoid_,Geo_qname,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001
01001,"Autauga County, Alabama",AL,50,0,,,,1,1,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01001,"Autauga County, Alabama",,,1,59285
01003,"Baldwin County, Alabama",AL,50,0,,,,1,3,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01003,"Baldwin County, Alabama",,,1,239945
01005,"Barbour County, Alabama",AL,50,0,,,,1,5,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01005,"Barbour County, Alabama",,,1,24757
01007,"Bibb County, Alabama",AL,50,0,,,,1,7,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01007,"Bibb County, Alabama",,,1,22152
01009,"Blount County, Alabama",AL,50,0,,,,1,9,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01009,"Blount County, Alabama",,,1,59292
01011,"Bullock County, Alabama",AL,50,0,,,,1,11,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01011,"Bullock County, Alabama",,,1,10157
01013,"Butler County, Alabama",AL,50,0,,,,1,13,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01013,"Butler County, Alabama",,,1,18807
01015,"Calhoun County, Alabama",AL,50,0,,,,1,15,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01015,"Calhoun County, Alabama",,,1,116141
01017,"Chambers County, Alabama",AL,50,0,,,,1,17,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01017,"Chambers County, Alabama",,,1,34450
01019,"Cherokee County, Alabama",AL,50,0,,,,1,19,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01019,"Cherokee County, Alabama",,,1,25224
01021,"Chilton County, Alabama",AL,50,0,,,,1,21,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01021,"Chilton County, Alabama",,,1,45500
01023,"Choctaw County, Alabama",AL,50,0,,,,1,23,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01023,"Choctaw County, Alabama",,,1,12525
01025,"Clarke County, Alabama",AL,50,0,,,,1,25,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01025,"Clarke County, Alabama",,,1,22802
01027,"Clay County, Alabama",AL,50,0,,,,1,27,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01027,"Clay County, Alabama",,,1,14188
01029,"Cleburne County, Alabama",AL,50,0,,,,1,29,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01029,"Cleburne County, Alabama",,,1,15254
01031,"Coffee County, Alabama",AL,50,0,,,,1,31,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01031,"Coffee County, Alabama",,,1,54231
01033,"Colbert County, Alabama",AL,50,0,,,,1,33,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01033,"Colbert County, Alabama",,,1,57648
01035,"Conecuh County, Alabama",AL,50,0,,,,1,35,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01035,"Conecuh County, Alabama",,,1,11411
01037,"Coosa County, Alabama",AL,50,0,,,,1,37,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01037,"Coosa County, Alabama",,,1,10323
01039,"Covington County, Alabama",AL,50,0,,,,1,39,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01039,"Covington County, Alabama",,,1,37647
01041,"Crenshaw County, Alabama",AL,50,0,,,,1,41,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01041,"Crenshaw County, Alabama",,,1,13144
01043,"Cullman County, Alabama",AL,50,0,,,,1,43,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01043,"Cullman County, Alabama",,,1,89463
01045,"Dale County, Alabama",AL,50,0,,,,1,45,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01045,"Dale County, Alabama",,,1,49516
01047,"Dallas County, Alabama",AL,50,0,,,,1,47,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01047,"Dallas County, Alabama",,,1,37536
01049,"DeKalb County, Alabama",AL,50,0,,,,1,49,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01049,"DeKalb County, Alabama",,,1,71946
01051,"Elmore County, Alabama",AL,50,0,,,,1,51,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01051,"Elmore County, Alabama",,,1,88669
01053,"Escambia County, Alabama",AL,50,0,,,,1,53,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01053,"Escambia County, Alabama",,,1,36695
01055,"Etowah County, Alabama",AL,50,0,,,,1,55,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0500000US01055,"Etowah County, Alabama",,,1,103208
