fips,county,state,longitude,latitude,cases_total,type,count
,Adams,Colorado,-104.3379,39.8736,4,imported,1.0
,Adams,Colorado,-104.3379,39.8736,4,local,3.0
,Alachua,Florida,-82.3577,29.6747,1,imported,0.0
,Alachua,Florida,-82.3577,29.6747,1,local,1.0
,Allegan,Michigan,-85.8883,42.5913,1,imported,0.0
,Allegan,Michigan,-85.8883,42.5913,1,local,1.0
,Allen,Indiana,-85.0665,41.0909,8,imported,0.0
,Allen,Indiana,-85.0665,41.0909,8,local,8.0
,Allen,Ohio,-84.1058,40.7715,1,imported,1.0
,Allen,Ohio,-84.1058,40.7715,1,local,0.0
,Anchorage,Alaska,-149.1082,61.1498,3,imported,2.0
,Anchorage,Alaska,-149.1082,61.1498,3,local,1.0
,Andrews,Texas,-102.6377,32.305,3,imported,0.0
,Andrews,Texas,-102.6377,32.305,3,local,3.0
,Arapahoe,Colorado,-104.3393,39.6498,5,imported,4.0
,Arapahoe,Colorado,-104.3393,39.6498,5,local,1.0
,Archuleta,Colorado,-107.0483,37.1935,1,imported,0.0
,Archuleta,Colorado,-107.0483,37.1935,1,local,1.0
,Ashtabula,Ohio,-80.7482,41.7072,16,imported,3.0
,Ashtabula,Ohio,-80.7482,41.7072,16,local,13.0
,Atascosa,Texas,-98.5272,28.8935,1,imported,0.0
,Atascosa,Texas,-98.5272,28.8935,1,local,1.0
,Bailey,Texas,-102.8299,34.0686,2,imported,0.0
,Bailey,Texas,-102.8299,34.0686,2,local,2.0
,Bear River,Utah,-112.1381,41.661,4,imported,0.0
,Bear River,Utah,-112.1381,41.661,4,local,4.0
,Bell,Texas,-97.4788,31.0373,1,imported,0.0
,Bell,Texas,-97.4788,31.0373,1,local,1.0
,Benton,Arkansas,-94.2561,36.3387,1,imported,0.0
,Benton,Arkansas,-94.2561,36.3387,1,local,1.0
,Bergen,New Jersey,-74.0742,40.9597,4,imported,1.0
,Bergen,New Jersey,-74.0742,40.9597,4,local,3.0
,Bexar,Texas,-98.52,29.4489,2,imported,0.0
,Bexar,Texas,-98.52,29.4489,2,local,2.0
,Bonner,Idaho,-116.6011,48.3,1,imported,0.0
,Bonner,Idaho,-116.6011,48.3,1,local,1.0
,Bonneville,Idaho,-111.6148,43.3877,5,imported,2.0
,Bonneville,Idaho,-111.6148,43.3877,5,local,3.0
,Borden,Texas,-101.4317,32.7436,1,imported,0.0
,Borden,Texas,-101.4317,32.7436,1,local,1.0
,Boulder,Colorado,-105.3577,40.0925,1,imported,1.0
,Boulder,Colorado,-105.3577,40.0925,1,local,0.0
,Boundary,Idaho,-116.4629,48.7669,6,imported,0.0
,Boundary,Idaho,-116.4629,48.7669,6,local,6.0
,Brazoria,Texas,-95.4521,29.1898,1,imported,0.0
,Brazoria,Texas,-95.4521,29.1898,1,local,1.0
,Brewster,Texas,-103.2517,29.8119,1,imported,0.0
,Brewster,Texas,-103.2517,29.8119,1,local,1.0
,Broward,Florida,-80.4871,26.1523,3,imported,0.0
,Broward,Florida,-80.4871,26.1523,3,local,3.0
,Brown,Texas,-98.9998,31.7742,1,imported,0.0
,Brown,Texas,-98.9998,31.7742,1,local,1.0
,Bucks,Pennsylvania,-75.1069,40.337,1,imported,1.0
,Bucks,Pennsylvania,-75.1069,40.337,1,local,0.0
,Buncombe,North Carolina,-82.5301,35.6112,6,imported,3.0
,Buncombe,North Carolina,-82.5301,35.6112,6,local,3.0
,Burke,North Dakota,-102.5182,48.791,1,imported,1.0
,Burke,North Dakota,-102.5182,48.791,1,local,0.0
,Butte,South Dakota,-103.5079,44.9058,4,imported,4.0
,Butte,South Dakota,-103.5079,44.9058,4,local,0.0
,Cabarrus,North Carolina,-80.5519,35.3868,2,imported,0.0
,Cabarrus,North Carolina,-80.5519,35.3868,2,local,2.0
,Canyon,Idaho,-116.7093,43.6251,5,imported,0.0
,Canyon,Idaho,-116.7093,43.6251,5,local,5.0
,Carbon,Wyoming,-106.9306,41.6944,7,imported,1.0
,Carbon,Wyoming,-106.9306,41.6944,7,local,6.0
,Carson,Texas,-101.3542,35.4035,1,imported,0.0
,Carson,Texas,-101.3542,35.4035,1,local,1.0
,Cascade,Montana,-111.347,47.308,1,imported,0.0
,Cascade,Montana,-111.347,47.308,1,local,1.0
,Cass,North Dakota,-97.248,46.933,7,imported,2.0
,Cass,North Dakota,-97.248,46.933,7,local,5.0
,Cedar,Missouri,-93.8566,37.7239,5,imported,0.0
,Cedar,Missouri,-93.8566,37.7239,5,local,5.0
,Central,Iowa,-93.40754375,41.84471875,2,imported,1.0
,Central,Iowa,-93.40754375,41.84471875,2,local,1.0
,Central,Utah,-111.948021,40.385835,5,imported,0.0
,Central,Utah,-111.948021,40.385835,5,local,5.0
,Central Region,Virginia,-78.21679447,37.4025616,2,imported,0.0
,Central Region,Virginia,-78.21679447,37.4025616,2,local,2.0
,Chaves,New Mexico,-104.4669,33.3633,1,imported,0.0
