Qualifying Name,Name of Area,FIPS,Nation,State,County,Total Population,Population Density (per Sq. Mile),Births ,"Births Rate per 1,000 Population",Total Population,Deaths ,"Deaths Rate per 1,000 Population",Total Population,Net Migration ,Net Migration: Net Domestic Migration,Net Migration: Net International Migration,"Net Migration Rate per 1,000 Population","Net Migration Rate per 1,000 Population: Net Domestic Migration Rate per 1,000 Population","Net Migration Rate per 1,000 Population: Net International Migration Rate per 1,000 Population",Natural Increase (Count),"Natural Increase Rate per 1,000 Population",Total Population,Total Population,Residual (Unattributed Population Change)
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T023_001,SE_NV001_001,SE_NV005_001,SE_T024_001,SE_NV002_001,SE_NV005_001,SE_T025_001,SE_T025_002,SE_T025_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_T026_001,SE_NV004_001,SE_NV005_001,SE_T027_001,SE_T027_002
"Autauga County, Alabama",Autauga County,01001,00,01,001,55869,93.98534730084071,624,11.20267141,55869,541,9.71257249,55869,254,270,-16,4.56006176,4.84730974,-0.28724798,83,1.49009892,55869,55869,-1
"Apache County, Arizona",Apache County,04001,00,04,001,71887,6.419772389034312,934,13.00672618,71887,702,9.77593338,71887,-75,-112,37,-1.04443733,-1.55969307,0.51525575,232,3.2307928,71887,71887,-1
"Arkansas County, Arkansas",Arkansas County,05001,00,05,001,17486,17.683833570730364,206,11.70055663,17486,216,12.26854481,17486,-232,-229,-3,-13.17732591,-13.00692946,-0.17039646,-10,-0.56798819,17486,17486,2
"Alameda County, California",Alameda County,06001,00,06,001,1671329,2266.8038795936563,18628,11.16089015,1671329,10944,6.55705292,1671329,-3086,-11626,8540,-1.8489643,-6.96567044,5.11670614,7684,4.60383723,1671329,1671329,-25
"Adams County, Colorado",Adams County,08001,00,08,001,517421,443.6411762070809,6777,13.17489247,517421,3208,6.23654346,517421,2487,1283,1204,4.83487643,2.49422857,2.34064786,3569,6.93834901,517421,517421,11
"Fairfield County, Connecticut",Fairfield County,09001,00,09,001,943332,1509.4085866707032,9603,10.17642636,943332,6960,7.37560424,943332,-3343,-8080,4737,-3.5426214,-8.56248308,5.01986168,2643,2.80082213,943332,943332,61
"Kent County, Delaware",Kent County,10001,00,10,001,180786,308.4768847852569,2127,11.83883159,180786,1757,9.77942036,180786,1874,1812,62,10.43063959,10.08554906,0.34509053,370,2.05941123,180786,180786,2
"District of Columbia, District of Columbia",District of Columbia,11001,00,11,001,705749,11544.000292518773,9493,13.49112056,705749,5677,8.06795443,705749,401,-2203,2604,0.56988722,-3.13082678,3.70071399,3816,5.42316613,705749,705749,-15
"Alachua County, Florida",Alachua County,12001,00,12,001,269043,307.2885097882324,2775,10.31801805,269043,2081,7.73758398,269043,-504,-1302,798,-1.87397517,-4.84110252,2.96712735,694,2.58043406,269043,269043,2
"Appling County, Georgia",Appling County,13001,00,13,001,18386,36.173409988844874,225,12.19115735,18386,213,11.54096229,18386,-152,-154,2,-8.23580407,-8.34416992,0.10836584,12,0.65019506,18386,18386,0
"Hawaii County, Hawaii",Hawaii County,15001,00,15,001,201513,50.022474917166285,2237,11.10113096,201513,2003,9.93990403,201513,-216,-643,427,-1.07190178,-3.1908928,2.11899102,234,1.16122693,201513,201513,-14
"Ada County, Idaho",Ada County,16001,00,16,001,481587,457.7767950385283,4980,10.48033832,481587,3055,6.42920353,481587,10841,10815,26,22.81472845,22.76001183,0.05471663,1925,4.05113479,481587,481587,57
"Adams County, Illinois",Adams County,17001,00,17,001,65435,76.51956190111977,776,11.84208518,65435,850,12.97135619,65435,-113,-131,18,-1.72442735,-1.9991149,0.27468754,-74,-1.12927101,65435,65435,-1
"Adams County, Indiana",Adams County,18001,00,18,001,35777,105.5597652536124,676,18.94300286,35777,261,7.31379252,35777,-231,-239,8,-6.47312672,-6.69730426,0.22417755,415,11.62921033,35777,35777,-2
"Adair County, Iowa",Adair County,19001,00,19,001,7152,12.563443216209064,84,11.80936314,7152,77,10.82524954,7152,73,71,2,10.26289892,9.9817236,0.28117531,7,0.98411359,7152,7152,-2
"Allen County, Kansas",Allen County,20001,00,20,001,12369,24.723294890825738,138,11.09770808,12369,161,12.9473261,12369,-107,-115,8,-8.60474467,-9.24809007,0.6433454000000001,-23,-1.84961801,12369,12369,-2
"Adair County, Kentucky",Adair County,21001,00,21,001,19202,47.378654848014875,184,9.58308377,19202,216,11.24970704,19202,37,38,-1,1.92703315,1.97911513,-0.05208198,-32,-1.66662327,19202,19202,-2
