Country / Region,Disease,2023.00,2022.00,2021.00,2020.00,2019.00,2018.00,2017.00,2016.00,2015.00,2014.00,2013.00,2012.00,2011.00,2010.00,2009.00,2008.00,2007.00,2006.00,2005.00,2004.00,2003.00,2002.00,2001.00,2000.00,1999.00,1998.00,1997.00,1996.00,1995.00,1994.00,1993.00,1992.00,1991.00,1990.00,1989.00,1988.00,1987.00,1986.00,1985.00,1984.00,1983.00,1982.00,1981.00,1980.00
Afghanistan,Measles,2792.00,5166.00,2900.00,640.00,353.00,2012.00,1511.00,638.00,1154.00,492.00,430.00,2787.00,3013.00,1989.00,2861.00,1599.00,1141.00,1990.00,1296.00,466.00,798.00,2486.00,8762.00,6532.00,3609.00,2205.00,,,,,,,792.00,1609.00,1170.00,4561.00,10357.00,8107.00,14457.00,16199.00,18808.00,20320.00,31107.00,32455.00
Albania,Measles,13.00,1.00,,4.00,488.00,1469.00,12.00,17.00,,,0.00,9.00,28.00,10.00,0.00,,22.00,68.00,6.00,7.00,8.00,16.00,18.00,662.00,797.00,1901.00,2386.00,1204.00,15.00,29.00,7.00,0.00,0.00,,136034.00,0.00,0.00,0.00,0.00,0.00,17.00,3.00,,
Algeria,Measles,203.00,47.00,,,2585.00,3356.00,112.00,41.00,63.00,0.00,25.00,18.00,112.00,103.00,107.00,217.00,0.00,944.00,2302.00,3289.00,15374.00,5862.00,2686.00,,2503.00,3301.00,19573.00,21003.00,8204.00,5913.00,3141.00,8823.00,5969.00,1796.00,4169.00,2634.00,2500.00,3975.00,20114.00,22553.00,22126.00,29584.00,20849.00,15527.00
American Samoa,Measles,,,,,,,,,,,,,0.00,,,0.00,0.00,,0.00,0.00,,,0.00,1.00,0.00,2.00,12.00,0.00,0.00,0.00,0.00,0.00,19.00,498.00,2.00,3.00,1.00,2.00,28.00,0.00,0.00,2.00,3.00,16.00
Andorra,Measles,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,2.00,2.00,,5.00,,,,,,,,,,,,,,,,,
Angola,Measles,3508.00,3271.00,300.00,1085.00,2987.00,57.00,29.00,53.00,119.00,11699.00,8523.00,4458.00,1449.00,1190.00,2807.00,265.00,1014.00,765.00,258.00,29.00,1196.00,11945.00,9046.00,2219.00,350.00,2576.00,8183.00,251.00,635.00,5480.00,9273.00,16772.00,18382.00,29069.00,19820.00,21009.00,13368.00,15580.00,22822.00,22685.00,22589.00,30067.00,19714.00,29656.00
Anguilla,Measles,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,15.00,7.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
Antigua and Barbuda,Measles,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,10.00,0.00,247.00,2291.00
Argentina,Measles,0.00,2.00,0.00,69.00,130.00,14.00,3.00,0.00,0.00,1.00,0.00,2.00,3.00,17.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,313.00,10229.00,125.00,59.00,655.00,134.00,5087.00,20551.00,42093.00,1967.00,4009.00,4751.00,8024.00,6448.00,9240.00,31751.00,7106.00,4432.00,17582.00,16102.00
