"state_name","case: FALSE, vax: FALSE","case: FALSE, vax: TRUE","case: NA, vax: TRUE","case: TRUE, vax: FALSE","case: TRUE, vax: TRUE","n_counties_births","n_counties_vax","n_counties_cases","note"
"Alabama",NA,67,NA,1,NA,67,67,1,"cases reported for North Alabama"
"Alaska",29,NA,NA,2,NA,29,NA,2,"no vaccination data available"
"Arizona",NA,9,NA,NA,6,15,15,6,NA
"Arkansas",72,NA,NA,3,NA,75,NA,3,"no vaccination data available"
"California",1,41,NA,1,16,58,57,17,"4 cases in unknown county"
"Colorado",NA,54,NA,NA,10,64,64,10,NA
"Connecticut",NA,8,NA,1,NA,8,8,1,"1 case reported in South Central Connecticut"
"Delaware",3,NA,NA,NA,NA,3,NA,NA,"no vaccination data available"
"District of Columbia",NA,NA,NA,NA,1,1,1,1,NA
"Florida",NA,56,NA,NA,11,67,67,11,NA
"Georgia",158,NA,NA,2,NA,159,NA,2,"no vaccination data available"
"Hawaii",1,3,NA,NA,1,5,4,1,NA
"Idaho",38,NA,NA,7,NA,44,NA,7,"no vaccination data available"
"Illinois",100,NA,NA,3,NA,102,NA,3,"no vaccination data available"
"Indiana",89,NA,NA,3,NA,92,NA,3,"no vaccination data available"
"Iowa",NA,99,NA,3,NA,99,99,3,"9 cases reported in Central, Eastern, and Western Iowa, but no reliable county decomposition available"
"Kansas",NA,100,NA,1,5,105,105,6,"20 cases reported in unknown county"
"Kentucky",NA,114,NA,1,6,120,120,7,"1 case reported in unknown county"
"Louisiana",NA,55,NA,NA,2,64,64,2,"health dept regions manually mapped to counties from https://ldh.la.gov/oph-regional-offices"
"Maine",NA,16,NA,NA,NA,16,16,NA,NA
"Maryland",NA,22,NA,NA,2,24,24,2,NA
"Massachusetts",NA,14,NA,NA,NA,14,14,NA,NA
"Michigan",1,72,NA,NA,10,83,82,10,NA
"Minnesota",NA,83,NA,2,4,87,87,6,"10 cases reported in Twin Cities Metro Area (and not clear which counties), 12 cases reported in unknown county"
"Mississippi",82,NA,NA,NA,NA,82,NA,NA,"no vaccination data available"
"Missouri",NA,112,NA,NA,3,115,115,3,NA
"Montana",51,NA,NA,6,NA,56,NA,6,"no vaccination data available"
"Nebraska",90,NA,NA,4,NA,93,NA,4,"no vaccination data available"
"Nevada",NA,15,NA,NA,2,17,17,2,NA
"New Hampshire",10,NA,NA,NA,NA,10,NA,NA,"no vaccination data available"
"New Jersey",NA,17,NA,1,4,21,21,5,"3 cases reported in unknown county"
"New Mexico",8,16,NA,1,8,33,24,9,"6 cases reported in Sandoval, but no vax data available"
"New York",NA,52,NA,NA,6,62,62,6,"20 cases reported in New York City, population weighted average of vax and birth rates for NYC counties used (Bronx, Kings, New York, Queens, Richmond)"
"North Carolina",NA,92,NA,NA,8,100,100,8,NA
"North Dakota",NA,49,NA,NA,4,53,53,4,NA
"Ohio",80,NA,NA,8,NA,88,NA,8,"no vaccination data available"
"Oklahoma",NA,77,NA,1,NA,77,77,1,"18 cases (all cases) reported in unknown county"
"Oregon",NA,33,NA,1,3,36,36,4,"2 cases reported in unknown county"
"Pennsylvania",NA,61,NA,1,6,67,67,7,"1 case reported in unknown county"
"Rhode Island",NA,4,NA,NA,1,5,5,1,NA
"South Carolina",NA,41,NA,NA,5,46,46,5,NA
"South Dakota",1,60,NA,NA,5,66,65,5,NA
"Tennessee",NA,69,NA,NA,3,95,95,3,"cases reported in public health regions, manually converted with https://www.tn.gov/health/health-program-areas/oralhealth/clinics/oral-health-regions-contacts.html"
"Texas",1,202,NA,1,51,254,253,52,"1 case reported in unknown county"
"Utah",NA,4,NA,NA,11,29,29,11,"cases reported by region, so aggregated using https://files.epi.utah.gov/Utah%20measles%20dashboard.html then converted using UT county map"
"Vermont",2,11,NA,1,1,14,12,2,"1 case reported in unknown county"
"Virginia",1,99,NA,NA,4,133,132,4,"cases reported regionally, converted from https://www.vdh.virginia.gov/content/uploads/2020/05/Locality-to-HD-to-HPR.pdf"
"Washington",NA,32,NA,NA,7,39,39,7,NA
"West Virginia",55,NA,NA,NA,NA,55,NA,NA,"no vaccination data available"
"Wisconsin",NA,69,NA,NA,3,72,72,3,NA
"Wyoming",NA,18,NA,NA,5,23,23,5,NA
